time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Strong,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.24392748,0,0,4500.14734775,4500.00092360,0.14642416,200.10844026,200.05844156,0.04999870,30.00000000
1.00000000,Strong,1,0,NWPR,0.00000000,1,30.05678667,0.95710174,1,0.20126367,1,1,4500.19166261,4500.04616798,0.14549463,202.96046342,202.92209291,0.03837050,30.00000000
2.00000000,Strong,1,0,NWPR,0.00000000,1,29.20925771,0.95203679,1,0.17050837,1,1,4500.28363893,4500.09226423,0.19137470,205.87634241,205.84421579,0.03212663,30.00000000
3.00000000,Strong,1,0,NWPR,0.00000000,1,29.10281734,0.94970699,1,0.48623208,1,1,4500.68482962,4500.13821723,0.54661239,208.79161257,208.76636855,0.02524402,30.00000000
4.00000000,Strong,1,1,NWPR,29.24233669,1,29.67145372,0.94575356,1,0.52942690,1,1,4500.77169003,4500.18395585,0.58773419,211.70457634,211.68855109,0.01602525,30.00000000
5.00000000,Strong,1,1,NWPR,29.25555816,1,28.96778822,0.93100547,1,-0.01579028,1,1,4500.21336940,4500.22940952,-0.01604012,214.61758771,214.61076324,0.00682447,30.00000000
6.00000000,Strong,1,1,NWPR,29.23669664,1,29.22228860,0.94209277,1,-0.01238802,1,1,4500.24558550,4500.27450850,-0.02892300,217.53349878,217.53300479,0.00049399,30.00000000
7.00000000,Strong,1,1,NWPR,29.23134620,1,28.01429852,0.94901171,1,0.18868567,1,1,4500.49368818,4500.31918397,0.17450421,220.45368637,220.45527549,-0.00158913,30.00000000
8.00000000,Strong,1,1,NWPR,29.23011666,1,29.08985188,0.94932837,1,-0.03190829,1,1,4500.32773507,4500.36336832,-0.03563325,223.37144193,223.37757505,-0.00613313,30.00000000
9.00000000,Strong,1,1,NWPR,29.23790504,1,28.65089672,0.93762800,1,0.18275997,1,1,4500.60574300,4500.40699525,0.19874775,226.29366897,226.29990312,-0.00623415,30.00000000
10.00000000,Strong,1,1,NWPR,29.29207907,1,28.60745870,0.93073984,1,-0.35910001,1,1,4500.07920757,4500.45000000,-0.37079243,229.21443546,229.22225933,-0.00782387,30.00000000
11.00000000,Strong,1,1,NWPR,29.36449734,1,29.65462526,0.93668933,1,-0.02735859,1,1,4500.46271047,4500.49231952,-0.02960905,232.13720445,232.14464324,-0.00743878,30.00000000
12.00000000,Strong,1,1,NWPR,29.47770342,1,29.63688888,0.92553503,1,-0.02471571,1,1,4500.51034955,4500.53389263,-0.02354308,235.05601645,235.06705439,-0.01103794,30.00000000
13.00000000,Strong,1,1,NWPR,29.48468938,1,28.37205902,0.93360438,1,0.22443648,1,1,4500.79359205,4500.57466020,0.21893185,237.97554760,237.98949227,-0.01394467,30.00000000
14.00000000,Strong,1,1,NWPR,29.46958361,1,29.87098303,0.94732491,1,-0.10822553,1,1,4500.50465187,4500.61456530,-0.10991343,240.89608566,240.91195635,-0.01587069,30.00000000
15.00000000,Strong,1,1,NWPR,29.51460684,1,29.23230097,0.94330933,1,0.21539777,1,1,4500.88820377,4500.65355339,0.23465038,243.81957947,243.83444605,-0.01486658,30.00000000
16.00000000,Strong,1,1,NWPR,29.53855585,1,29.25137685,0.94258937,1,-0.08564952,1,1,4500.60664428,4500.69157241,-0.08492814,246.74198201,246.75696076,-0.01497875,30.00000000
17.00000000,Strong,1,1,NWPR,29.59551998,1,29.75135339,0.93541630,1,0.03670790,1,1,4500.77025200,4500.72857298,0.04167901,249.66558498,249.67949982,-0.01391485,30.00000000
18.00000000,Strong,1,1,NWPR,29.67434469,1,30.16361918,0.93781535,1,-0.04483345,1,1,4500.71809214,4500.76450850,-0.04641636,252.59235052,252.60206257,-0.00971205,30.00000000
19.00000000,Strong,1,1,NWPR,29.65767318,1,30.29999406,0.93785199,1,-0.08597148,1,1,4500.70983195,4500.79933528,-0.08950334,255.51766144,255.52464830,-0.00698686,30.00000000
20.00000000,Strong,1,1,NWPR,29.66106441,1,30.09733678,0.93833082,1,-0.40870770,1,1,4500.39429276,4500.83301270,-0.43871995,258.43832931,258.44725627,-0.00892696,30.00000000
21.00000000,Strong,1,1,NWPR,29.64061773,1,28.48975826,0.93461489,1,-0.06540098,1,1,4500.80369135,4500.86550326,-0.06181191,261.36111529,261.36988572,-0.00877043,30.00000000
22.00000000,Strong,1,1,NWPR,29.54021803,1,29.16017740,0.94231241,1,0.27083203,1,1,4501.17672531,4500.89677273,0.27995258,264.28939994,264.29253588,-0.00313593,30.00000000
23.00000000,Strong,1,1,NWPR,29.44163694,1,30.11594369,0.94487829,1,-0.17585255,1,1,4500.75598632,4500.92679021,-0.17080390,267.21043320,267.21520593,-0.00477274,30.00000000
24.00000000,Strong,1,1,NWPR,29.34881330,1,30.07651781,0.94860397,1,0.02511872,1,1,4500.98593200,4500.95552826,0.03040374,270.13231302,270.13789507,-0.00558205,30.00000000
25.00000000,Strong,1,1,NWPR,29.36304040,1,29.72123505,0.95461300,1,-0.02810103,1,1,4500.94844015,4500.98296291,-0.03452276,273.05810047,273.06060244,-0.00250197,30.00000000
26.00000000,Strong,1,1,NWPR,29.40857965,1,29.86356644,0.93868349,1,-0.25460237,1,1,4500.73775696,4501.00907380,-0.27131684,275.97920983,275.98332720,-0.00411737,30.00000000
27.00000000,Strong,1,1,NWPR,29.49408055,1,29.55283024,0.94179834,1,0.20427614,1,1,4501.24408117,4501.03384417,0.21023700,278.90149171,278.90606848,-0.00457677,30.00000000
28.00000000,Strong,1,1,NWPR,29.52712592,1,28.83618472,0.95191348,1,0.09145833,1,1,4501.15220398,4501.05726095,0.09494303,281.82616234,281.82882540,-0.00266307,30.00000000
29.00000000,Strong,1,1,NWPR,29.49246440,1,29.48869137,0.92694279,1,-0.05778831,1,1,4501.02014413,4501.07931477,-0.05917063,284.74615905,284.75159709,-0.00543805,30.00000000
30.00000000,Strong,1,1,NWPR,29.47177603,1,29.70224239,0.93629353,1,0.21838165,1,1,4501.32379334,4501.10000000,0.22379334,287.66864935,287.67438266,-0.00573331,30.00000000
31.00000000,Strong,1,1,NWPR,29.40635533,1,28.65046762,0.94101704,1,0.30597600,1,1,4501.43993710,4501.11931477,0.32062233,290.59741764,290.59718121,0.00023643,30.00000000
32.00000000,Strong,1,1,NWPR,29.41664352,1,28.94183776,0.93928073,1,0.00503850,1,1,4501.15067464,4501.13726095,0.01341369,293.52240481,293.51999186,0.00241294,30.00000000
33.00000000,Strong,1,1,NWPR,29.44936420,1,28.10512133,0.93480262,1,0.14243904,1,1,4501.31931654,4501.15384417,0.16547236,296.44738166,296.44281372,0.00456794,30.00000000
34.00000000,Strong,1,1,NWPR,29.46996859,1,29.24008581,0.93236653,1,0.08640711,1,1,4501.25510271,4501.16907380,0.08602891,299.36972526,299.36564591,0.00407935,30.00000000
35.00000000,Strong,1,1,NWPR,29.47112673,1,28.64996461,0.93925735,1,0.42152374,1,1,4501.62111708,4501.18296291,0.43815417,302.29435948,302.28848756,0.00587192,30.00000000
36.00000000,Strong,1,1,NWPR,29.42301821,1,28.64770823,0.94025269,1,-0.19970195,1,1,4500.98315440,4501.19552826,-0.21237386,305.21898958,305.21133779,0.00765179,30.00000000
37.00000000,Strong,1,1,NWPR,29.30029373,1,28.91027959,0.94008771,1,-0.04718577,1,1,4501.15638877,4501.20679021,-0.05040144,308.14133700,308.13419575,0.00714125,30.00000000
38.00000000,Strong,1,1,NWPR,29.23664264,1,29.70979318,0.93334580,1,-0.34159511,1,1,4500.86462047,4501.21677273,-0.35215226,311.06097835,311.05706061,0.00391774,30.00000000
39.00000000,Strong,1,1,NWPR,29.22140396,1,29.48134363,0.94758696,1,0.27008650,1,1,4501.51558978,4501.22550326,0.29008652,313.98159014,313.97993155,0.00165859,30.00000000
40.00000000,Strong,1,1,NWPR,29.23365079,1,29.50728264,0.94631184,1,-0.00726836,1,1,4501.23079302,4501.23301270,-0.00221968,316.90143881,316.90280776,-0.00136894,30.00000000
41.00000000,Strong,1,1,NWPR,29.31229534,1,28.09457835,0.93350999,1,-0.02856272,1,1,4501.21421648,4501.23933528,-0.02511880,319.82735063,319.82568845,0.00166218,30.00000000
42.00000000,Strong,1,1,NWPR,29.30668202,1,28.44123526,0.94498642,1,0.08144824,1,1,4501.32841279,4501.24450850,0.08390430,322.75336645,322.74857288,0.00479357,30.00000000
43.00000000,Strong,1,1,NWPR,29.26917418,1,29.83836413,0.93962359,1,0.27603269,1,1,4501.53365095,4501.24857298,0.28507797,325.67948771,325.67146030,0.00802741,30.00000000
44.00000000,Strong,1,1,NWPR,29.30850940,1,29.04342427,0.94919466,1,-0.06654127,1,1,4501.17946855,4501.25157241,-0.07210387,328.59845310,328.59435002,0.00410308,30.00000000
45.00000000,Strong,1,1,NWPR,29.31269712,1,30.16422182,0.95183196,1,0.01666892,1,1,4501.26502723,4501.25355339,0.01147384,331.51861542,331.51724134,0.00137408,30.00000000
46.00000000,Strong,1,1,NWPR,29.32759472,1,29.00841385,0.93757162,1,0.03684917,1,1,4501.29564735,4501.25456530,0.04108204,334.44107843,334.44013364,0.00094479,30.00000000
47.00000000,Strong,1,1,NWPR,29.36914418,1,28.70413054,0.95123175,1,-0.28816632,1,1,4500.96359875,4501.25466020,-0.29106144,337.36183985,337.36302629,-0.00118645,30.00000000
48.00000000,Strong,1,1,NWPR,29.32130676,1,28.97975504,0.96043932,1,-0.10101866,1,1,4501.15136306,4501.25389263,-0.10252957,340.28642089,340.28591873,0.00050216,30.00000000
49.00000000,Strong,1,1,NWPR,29.30319129,1,28.77220362,0.95317312,1,0.04016603,1,1,4501.28741947,4501.25231952,0.03509996,343.20942897,343.20881040,0.00061857,30.00000000
50.00000000,Strong,1,1,NWPR,29.30194627,1,29.97605320,0.95295238,1,-0.10303034,1,1,4501.14030933,4501.25000000,-0.10969067,346.13190961,346.13170080,0.00020881,30.00000000
51.00000000,Strong,1,1,NWPR,29.27190795,1,29.35810910,0.94373849,1,0.14836934,1,1,4501.40061999,4501.24699525,0.15362474,349.05836145,349.05458947,0.00377198,30.00000000
52.00000000,Strong,1,1,NWPR,29.25972243,1,29.32906327,0.93266653,1,-0.05693881,1,1,4501.17938281,4501.24336832,-0.06398551,351.98043388,351.97747598,0.00295790,30.00000000
53.00000000,Strong,1,1,NWPR,29.28270453,1,29.94206715,0.94313817,1,0.13946219,1,1,4501.38328829,4501.23918397,0.14410431,354.90152468,354.90035996,0.00116472,30.00000000
54.00000000,Strong,1,1,NWPR,29.33340466,1,29.37024172,0.93493110,1,0.31093864,1,1,4501.56215179,4501.23450850,0.32764329,357.82116388,357.82324105,-0.00207717,30.00000000
